host_total_listings_count,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,prediction
1.0,9,8,37.773467310979136,-122.49900821237688,0,1,2.0,2.0,1.0,1.0,0,2.0,177.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,109.0,172.25222036422593
2.0,4,1,37.753270235131396,-122.40635591551352,2,0,2.0,2.0,1.0,1.0,0,3.0,28.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,195.0,172.25222036422593
2.0,0,0,37.777108217502615,-122.44295145304217,0,0,8.0,2.0,3.0,4.0,0,3.0,151.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,600.0,290.16823424117257
32.0,24,16,37.790747599179504,-122.40881676227798,0,0,2.0,1.0,1.0,1.0,0,30.0,5.0,96.0,8.0,9.0,9.0,10.0,10.0,9.0,90.0,172.25222036422593
3.0,7,6,37.76029741999728,-122.4387273886802,0,1,1.0,1.0,1.0,1.0,0,30.0,13.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,99.0,172.25222036422593
2.0,19,13,37.71799398818639,-122.43635414310373,1,0,6.0,1.0,3.0,3.0,0,3.0,84.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,325.0,290.16823424117257
1.0,22,2,37.73327365354464,-122.46434558077836,1,1,4.0,1.0,2.0,2.0,0,2.0,278.0,93.0,10.0,9.0,10.0,10.0,10.0,9.0,125.0,231.21022730269925
1.0,4,1,37.75649200146516,-122.41025467352736,6,0,4.0,2.0,2.0,2.0,0,5.0,7.0,97.0,9.0,10.0,10.0,10.0,10.0,9.0,225.0,231.21022730269925
1.0,34,7,37.74301407403394,-122.44187562523831,0,0,3.0,2.0,2.0,2.0,0,2.0,37.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,272.0,231.21022730269925
1.0,17,9,37.80016929363053,-122.41243237403135,0,0,4.0,1.5,2.0,4.0,0,5.0,34.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,293.0,231.21022730269925
